"","species","body_mass_g","culmen_length_mm","fitted_seg1"
"1","Gentoo penguin (Pygoscelis papua)",4500,46.1,4920.47762896883
"2","Gentoo penguin (Pygoscelis papua)",5700,50,5432.88164353639
"3","Gentoo penguin (Pygoscelis papua)",4450,48.7,5262.0803053472
"4","Gentoo penguin (Pygoscelis papua)",5700,50,5432.88164353638
"5","Gentoo penguin (Pygoscelis papua)",5400,47.6,5117.55609611019
"6","Gentoo penguin (Pygoscelis papua)",4550,46.5,4973.03188687318
"7","Gentoo penguin (Pygoscelis papua)",4800,45.4,4828.50767763618
"8","Gentoo penguin (Pygoscelis papua)",5200,46.7,4999.30901582537
"9","Gentoo penguin (Pygoscelis papua)",4400,43.3,4552.59782363826
"10","Gentoo penguin (Pygoscelis papua)",5150,46.8,5012.44758030146
"11","Gentoo penguin (Pygoscelis papua)",4650,40.9,4237.27227621207
"12","Gentoo penguin (Pygoscelis papua)",5550,49,5301.49599877547
"13","Gentoo penguin (Pygoscelis papua)",4650,45.5,4841.64624211227
"14","Gentoo penguin (Pygoscelis papua)",5850,48.4,5222.66461191892
"15","Gentoo penguin (Pygoscelis papua)",4200,45.8,4881.06193554055
"16","Gentoo penguin (Pygoscelis papua)",5850,49.3,5340.91169220374
"17","Gentoo penguin (Pygoscelis papua)",4150,42,4381.79648544907
"18","Gentoo penguin (Pygoscelis papua)",6300,49.2,5327.77312772765
"19","Gentoo penguin (Pygoscelis papua)",4800,46.2,4933.61619344491
"20","Gentoo penguin (Pygoscelis papua)",5350,48.7,5262.0803053472
"21","Gentoo penguin (Pygoscelis papua)",5700,50.2,5443.28240444972
"22","Gentoo penguin (Pygoscelis papua)",5000,45.1,4789.09198420791
"23","Gentoo penguin (Pygoscelis papua)",4400,46.5,4973.03188687318
"24","Gentoo penguin (Pygoscelis papua)",5050,46.3,4946.754757921
"25","Gentoo penguin (Pygoscelis papua)",5000,42.9,4500.0435657339
"26","Gentoo penguin (Pygoscelis papua)",5100,46.1,4920.47762896882
"27","Gentoo penguin (Pygoscelis papua)",4100,44.5,4710.26059735136
"28","Gentoo penguin (Pygoscelis papua)",5650,47.8,5143.83322506237
"29","Gentoo penguin (Pygoscelis papua)",4600,48.2,5196.38748296674
"30","Gentoo penguin (Pygoscelis papua)",5550,50,5432.88164353638
"31","Gentoo penguin (Pygoscelis papua)",5250,47.3,5078.14040268192
"32","Gentoo penguin (Pygoscelis papua)",4700,42.8,4486.9050012578
"33","Gentoo penguin (Pygoscelis papua)",5050,45.1,4789.09198420791
"34","Gentoo penguin (Pygoscelis papua)",6050,59.6,5932.11701689288
"35","Gentoo penguin (Pygoscelis papua)",5150,49.1,5314.63456325156
"36","Gentoo penguin (Pygoscelis papua)",5400,48.4,5222.66461191892
"37","Gentoo penguin (Pygoscelis papua)",4950,42.6,4460.62787230562
"38","Gentoo penguin (Pygoscelis papua)",5250,44.4,4697.12203287527
"39","Gentoo penguin (Pygoscelis papua)",4350,44,4644.5677749709
"40","Gentoo penguin (Pygoscelis papua)",5350,48.7,5262.0803053472
"41","Gentoo penguin (Pygoscelis papua)",3950,42.7,4473.76643678171
"42","Gentoo penguin (Pygoscelis papua)",5700,49.6,5380.32738563202
"43","Gentoo penguin (Pygoscelis papua)",4300,45.3,4815.36911316009
"44","Gentoo penguin (Pygoscelis papua)",4750,49.6,5380.32738563202
"45","Gentoo penguin (Pygoscelis papua)",5550,50.5,5458.88350910216
"46","Gentoo penguin (Pygoscelis papua)",4900,43.6,4592.01351706653
"47","Gentoo penguin (Pygoscelis papua)",4200,45.5,4841.64624211227
"48","Gentoo penguin (Pygoscelis papua)",5400,50.5,5458.88350910216
"49","Gentoo penguin (Pygoscelis papua)",5100,44.9,4762.81485525572
"50","Gentoo penguin (Pygoscelis papua)",5300,45.2,4802.230548684
"51","Gentoo penguin (Pygoscelis papua)",4850,46.6,4986.17045134928
"52","Gentoo penguin (Pygoscelis papua)",5300,48.5,5235.80317639501
"53","Gentoo penguin (Pygoscelis papua)",4400,45.1,4789.09198420791
"54","Gentoo penguin (Pygoscelis papua)",5000,50.1,5438.08203623223
"55","Gentoo penguin (Pygoscelis papua)",4900,46.5,4973.03188687318
"56","Gentoo penguin (Pygoscelis papua)",5050,45,4775.95341973181
"57","Gentoo penguin (Pygoscelis papua)",4300,43.8,4618.29064601872
"58","Gentoo penguin (Pygoscelis papua)",5000,45.5,4841.64624211227
"59","Gentoo penguin (Pygoscelis papua)",4450,43.2,4539.45925916217
"60","Gentoo penguin (Pygoscelis papua)",5550,50.4,5453.68314088468
"61","Gentoo penguin (Pygoscelis papua)",4200,45.3,4815.36911316009
"62","Gentoo penguin (Pygoscelis papua)",5300,46.2,4933.61619344491
"63","Gentoo penguin (Pygoscelis papua)",4400,45.7,4867.92337106445
"64","Gentoo penguin (Pygoscelis papua)",5650,54.3,5656.49750136642
"65","Gentoo penguin (Pygoscelis papua)",4700,45.8,4881.06193554055
"66","Gentoo penguin (Pygoscelis papua)",5700,49.8,5406.6045145842
"67","Gentoo penguin (Pygoscelis papua)",4650,46.2,4933.61619344491
"68","Gentoo penguin (Pygoscelis papua)",5800,49.5,5367.18882115593
"69","Gentoo penguin (Pygoscelis papua)",4700,43.5,4578.87495259044
"70","Gentoo penguin (Pygoscelis papua)",5550,50.7,5469.28424553712
"71","Gentoo penguin (Pygoscelis papua)",4750,47.7,5130.69466058628
"72","Gentoo penguin (Pygoscelis papua)",5000,46.4,4959.89332239709
"73","Gentoo penguin (Pygoscelis papua)",5100,48.2,5196.38748296674
"74","Gentoo penguin (Pygoscelis papua)",5200,46.5,4973.03188687318
"75","Gentoo penguin (Pygoscelis papua)",4700,46.4,4959.89332239709
"76","Gentoo penguin (Pygoscelis papua)",5800,48.6,5248.9417408711
"77","Gentoo penguin (Pygoscelis papua)",4600,47.5,5104.4175316341
"78","Gentoo penguin (Pygoscelis papua)",6000,51.1,5490.08571840704
"79","Gentoo penguin (Pygoscelis papua)",4750,45.2,4802.230548684
"80","Gentoo penguin (Pygoscelis papua)",5950,45.2,4802.230548684
"81","Gentoo penguin (Pygoscelis papua)",4625,49.1,5314.63456325156
"82","Gentoo penguin (Pygoscelis papua)",5450,52.5,5562.89087345177
"83","Gentoo penguin (Pygoscelis papua)",4725,47.4,5091.27896715801
"84","Gentoo penguin (Pygoscelis papua)",5350,50,5432.88164353638
"85","Gentoo penguin (Pygoscelis papua)",4750,44.9,4762.81485525572
"86","Gentoo penguin (Pygoscelis papua)",5600,50.8,5474.4846137546
"87","Gentoo penguin (Pygoscelis papua)",4600,43.4,4565.73638811435
"88","Gentoo penguin (Pygoscelis papua)",5300,51.3,5500.486454842
"89","Gentoo penguin (Pygoscelis papua)",4875,47.5,5104.4175316341
"90","Gentoo penguin (Pygoscelis papua)",5550,52.1,5542.08940058185
"91","Gentoo penguin (Pygoscelis papua)",4950,47.5,5104.4175316341
"92","Gentoo penguin (Pygoscelis papua)",5400,52.2,5547.28976879933
"93","Gentoo penguin (Pygoscelis papua)",4750,45.5,4841.64624211227
"94","Gentoo penguin (Pygoscelis papua)",5650,49.5,5367.18882115593
"95","Gentoo penguin (Pygoscelis papua)",4850,44.5,4710.26059735136
"96","Gentoo penguin (Pygoscelis papua)",5200,50.8,5474.4846137546
